title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1251651,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,215816,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,454694,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1137227,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,754036,
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,62872,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,148062,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1231802,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252344,
"Before Sunrise",movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,359356,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,854640,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,302459,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,190849,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127511,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1761620,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,979967,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1378800,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,946766,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,115223,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,83007,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113877,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,386469,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,891051,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,551564,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2109484,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1874865,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2079478,
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,460807,
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,911283,
"Gimme Shelter",movie,"Documentary, Music, Thriller",1970,tt0065780,7.8,13366,
Primary,movie,"Documentary, History, News",1960,tt0054205,7.1,1583,
"Bob Dylan: Dont Look Back",movie,"Documentary, Music",1967,tt0061589,7.9,10667,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,716896,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80965,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,288225,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,131518,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3023583,
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,647068,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,426944,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,598271,
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,112550,
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,390056,
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,912126,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,807794,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,819021,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,500892,
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1130021,
"To Be or Not to Be",movie,"Comedy, Romance, War",1942,tt0035446,8.1,47114,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,70578,
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,360553,
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,25050,
"The Terminator",movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,965681,
"East of Eden",movie,Drama,1955,tt0048028,7.8,50386,
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,100892,
"Berlin: Symphony of Metropolis",movie,Documentary,1927,tt0017668,7.6,4967,
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,55872,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136498,
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,464838,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2127029,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1430770,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439794,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196152,
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,237194,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,459675,
"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,64012,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,419863,
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,91157,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1647467,
"The Silence of the Lambs",movie,"Crime, Drama, Horror",1991,tt0102926,8.6,1636797,
Fargo,movie,"Crime, Drama, Thriller",1996,tt0116282,8.1,756911,
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,293994,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3046940,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1233532,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,631785,
"Desert Hearts",movie,"Drama, Romance",1985,tt0089015,7.1,7897,
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,283306,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,377817,
"Rio Bravo",movie,Western,1959,tt0053221,8,71063,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32129,
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,129225,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,504315,
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,147275,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1120242,
Magnolia,movie,Drama,1999,tt0175880,8,338140,
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,156531,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68803,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,399832,
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,384447,
"People on Sunday",movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3739,
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,1016775,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,500092,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,340180,
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,277963,
"Rain Man",movie,Drama,1988,tt0095953,8,565695,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,413292,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,838239,
"La Strada",movie,Drama,1954,tt0047528,8,68345,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,275460,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,275911,
8½,movie,Drama,1963,tt0056801,8,129349,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,969026,
"Ice Age",movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,543539,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,445282,
"My Uncle",movie,Comedy,1958,tt0050706,7.7,25236,
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36917,
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,88011,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1022555,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,234422,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42090,
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,124848,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1138918,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,208782,
"Being John Malkovich",movie,"Comedy, Drama, Fantasy",1999,tt0120601,7.7,362357,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1486866,
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29576,
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1133355,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113176,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56214,
