title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,data_quality_score,quality_category
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9188,1.0,High
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8014,1.0,High
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2381047,1.0,High
American Beauty,movie,Drama,1999,tt0169547,8.3,1249470,1.0,High
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,527520,1.0,High
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7.0,215816,1.0,High
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,454694,1.0,High
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1137227,1.0,High
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8.0,267952,1.0,High
A History of Violence,movie,"Action, Crime, Drama",2005,tt0399146,7.4,264649,1.0,High
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120017,1.0,High
8 Mile,movie,"Drama, Music",2002,tt0298203,7.2,338517,1.0,High
Paradise Now,movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24522,1.0,High
Million Dollar Baby,movie,"Drama, Sport",2004,tt0405159,8.1,746625,1.0,High
Billy Elliot,movie,"Drama, Music",2000,tt0249462,7.7,148062,1.0,High
American History X,movie,"Crime, Drama",1998,tt0120586,8.5,1231802,1.0,High
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252344,1.0,High
Before Sunrise,movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,359356,1.0,High
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1379800,1.0,High
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190835,1.0,High
Before Sunset,movie,"Drama, Romance",2004,tt0381681,8.1,302459,1.0,High
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8.0,190849,1.0,High
Open Water,movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57911,1.0,High
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1074918,1.0,High
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,552522,1.0,High
Dirty Dancing,movie,"Drama, Music, Romance",1987,tt0092890,7.1,269589,1.0,High
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,839236,1.0,High
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,tt0086960,7.4,224209,1.0,High
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143605,1.0,High
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1761620,1.0,High
All About My Mother,movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106823,1.0,High
Léon: The Professional,movie,"Action, Crime, Drama",1994,tt0110413,8.5,1303609,1.0,High
Open Hearts,movie,"Drama, Romance",2002,tt0315543,7.5,11292,1.0,High
Taxi Driver,movie,"Crime, Drama",1976,tt0075314,8.2,979967,1.0,High
Run Lola Run,movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213507,1.0,High
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1378800,1.0,High
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,946766,1.0,High
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,966571,1.0,High
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,tt0243862,7.0,14205,1.0,High
The Untouchables,movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,343623,1.0,High
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,551564,1.0,High
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2109484,1.0,High
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1874865,1.0,High
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,tt0167260,9.0,2079478,1.0,High
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,460807,1.0,High
Spirited Away,movie,"Adventure, Animation, Family",2001,tt0245429,8.6,911283,1.0,High
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,341637,1.0,High
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,tt0107048,8.0,716896,1.0,High
Bad Education,movie,"Crime, Drama",2004,tt0275491,7.4,64938,1.0,High
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8.0,882822,1.0,High
Brokeback Mountain,movie,"Drama, Romance",2005,tt0388795,7.7,401307,1.0,High
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,288225,1.0,High
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8.0,216035,1.0,High
48 Hrs.,movie,"Action, Comedy, Crime",1982,tt0083511,6.9,89794,1.0,High
Lost in Translation,movie,"Comedy, Drama",2003,tt0335266,7.7,511114,1.0,High
The Dark Knight,movie,"Action, Crime, Drama",2008,tt0468569,9.0,3023583,1.0,High
Ocean's Eleven,movie,"Crime, Thriller",2001,tt0240772,7.7,647068,1.0,High
Ocean's Twelve,movie,"Crime, Thriller",2004,tt0349903,6.5,426944,1.0,High
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,598271,1.0,High
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,489900,1.0,High
Minority Report,movie,"Action, Crime, Mystery",2002,tt0181689,7.6,602861,1.0,High
Jackie Brown,movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,390056,1.0,High
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,tt0458481,6.5,174936,1.0,High
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,122868,1.0,High
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,819021,1.0,High
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,500892,1.0,High
Saw III,movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,221276,1.0,High
Saw II,movie,"Horror, Mystery",2005,tt0432348,6.6,287944,1.0,High
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,tt0367882,6.2,503412,1.0,High
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110330,1.0,High
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136498,1.0,High
Stand by Me,movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,464838,1.0,High
